28564732.452, 559.4;
28564742.865, 557.5;
28564753.272, 557.1;
28564763.733, 557.6;
28564772.078, 558.6;
28564782.539, 556.8;
28564792.994, 554.4;
28564803.449, 553.4;
28564813.942, 553.0;
28564822.303, 552.2;
28564832.700, 547.4;
28564843.169, 546.3;
28564853.715, 544.4;
28564862.094, 540.7;
28564872.519, 540.0;
28564882.941, 537.2;
28564893.407, 542.9;
28564903.832, 541.5;
28564912.174, 544.0;
28564922.613, 542.4;
28564933.050, 541.3;
28564943.463, 539.5;
28564953.944, 537.1;
28564962.353, 536.0;
28564972.930, 532.7;
28564983.555, 532.2;
28564994.008, 532.2;
28565002.338, 531.4;
28565012.767, 531.6;
28565023.204, 527.9;
28565033.643, 526.2;
28565042.021, 520.8;
28565052.459, 517.9;
28565062.940, 509.8;
28565073.383, 513.9;
28565083.805, 512.1;
28565092.167, 505.3;
28565102.607, 496.4;
28565113.073, 492.2;
28565123.527, 487.6;
28565132.011, 481.1;
28565142.467, 469.6;
28565153.058, 465.9;
28565163.495, 463.0;
28565173.902, 462.3;
28565182.231, 461.4;
28565192.639, 463.8;
28565203.119, 464.1;
28565213.620, 462.9;
28565224.093, 460.4;
28565232.402, 461.5;
28565242.890, 464.4;
28565253.308, 462.2;
28565263.666, 467.5;
28565274.103, 469.6;
28565282.486, 474.0;
28565292.917, 475.4;
28565303.448, 477.4;
28565313.884, 480.4;
28565322.263, 484.9;
28565332.764, 493.3;
28565343.312, 499.0;
28565353.871, 504.8;
28565362.247, 505.9;
28565372.767, 502.7;
28565383.206, 497.7;
28565393.765, 453.6;
28565402.155, 473.0;
28565412.684, 501.9;
28565423.138, 509.7;
28565433.635, 511.1;
28565444.105, 503.1;
28565452.450, 498.6;
28565462.889, 482.8;
28565473.330, 469.2;
28565483.781, 468.1;
28565492.142, 473.9;
28565502.606, 477.8;
28565513.032, 478.0;
28565523.469, 475.6;
28565533.999, 477.6;
28565542.313, 473.1;
28565552.769, 458.7;
28565563.188, 443.4;
28565573.653, 416.5;
28565584.090, 396.7;
28565592.420, 375.6;
28565602.891, 369.9;
28565613.362, 345.6;
28565623.858, 334.5;
28565632.237, 351.5;
28565642.642, 351.8;
28565653.059, 359.8;
28565663.611, 387.6;
28565674.043, 414.7;
28565682.469, 428.3;
28565692.936, 420.4;
28565703.488, 397.3;
28565713.924, 380.9;
28565722.318, 355.2;
28565732.736, 340.9;
28565743.187, 355.1;
28565753.608, 385.0;
28565764.077, 398.7;
28565772.502, 407.3;
28565782.985, 371.2;
28565793.499, 364.8;
28565803.894, 336.3;
28565812.240, 327.3;
28565822.770, 309.5;
28565833.238, 303.9;
28565843.676, 310.0;
28565854.110, 316.3;
28565862.507, 316.6;
28565873.030, 346.6;
28565883.421, 379.5;
28565893.971, 398.6;
28565902.376, 421.3;
28565912.817, 436.5;
28565923.345, 422.4;
28565933.783, 414.6;
28565944.140, 403.8;
28565952.501, 384.3;
28565962.923, 348.7;
28565973.391, 313.6;
28565983.863, 270.7;
28565992.238, 233.5;
28566002.663, 199.2;
28566013.084, 166.5;
28566023.489, 140.4;
28566033.938, 112.7;
28566042.300,  85.4;
28566052.726,  63.0;
28566063.175,  44.4;
28566073.631,  33.7;
28566084.100,  20.9;
28566092.427,  15.3;
28566102.928,  13.3;
28566113.365,  11.9;
28566123.829,  10.8;
28566132.180,  10.5;
28566142.629,   9.6;
28566153.085,   8.8;
28566163.519,   7.7;
28566173.943,   7.2;
28566182.290,   6.7;
28566192.728,   6.2;
28566203.165,   5.8;
28566213.614,   5.6;
28566224.051,   5.2;
28566232.379,   4.9;
28566242.883,   4.5;
28566253.321,   4.2;
28566263.704,   4.0;
28566274.148,   3.7;
28566282.541,   4.0;
28566292.991,   4.4;
28566303.444,   3.5;
28566313.943,   3.2;
28566322.288,   2.8;
28566332.789,   2.6;
28566343.181,   2.5;
28566353.603,   2.3;
28566364.068,   2.1;
28566372.402,   2.0;
28566382.839,   2.0;
28566393.333,   1.9;
28566403.759,   2.0;
28566412.117,   2.2;
28566422.589,   2.4;
28566433.210,   2.5;
28566443.728,   2.6;
28566452.054,   2.6;
28566462.633,   2.6;
28566473.135,   2.5;
28566483.600,   2.6;
28566494.118,   2.1;
28566502.668,   1.9;
28566513.162,   1.7;
28566523.602,   1.6;
28566534.052,   1.5;
28566542.444,   1.4;
28566552.913,   1.3;
28566563.416,   1.3;
28566573.896,   1.3;
28566582.321,   1.3;
28566592.728,   1.3;
28566603.121,   1.3;
28566613.619,   1.2;
28566624.105,   1.2;
28566632.477,   1.3
