#1	
double	T_HTF_inlet(2502,2)
7132392.750	24.02
7132402.700	24.03
7132412.751	24.01
7132422.751	24.03
7132432.701	24.02
7132442.752	24.02
7132452.752	24.04
7132462.753	24.02
7132472.703	24.03
7132482.754	24.04
7132492.704	24.04
7132502.754	24.04
7132512.755	24.04
7132522.755	24.04
7132532.756	24.04
7132542.756	24.03
7132552.757	24.04
7132562.707	24.04
7132572.707	24.03
7132582.758	24.04
7132592.708	24.03
7132602.709	24.02
7132612.759	24.03
7132622.760	24.04
7132632.760	24.03
7132642.760	24.03
7132652.761	24.04
7132662.761	24.04
7132672.762	24.04
7132682.712	24.05
7132692.713	24.04
7132702.763	24.03
7132712.763	24.04
7132722.714	24.03
7132732.764	24.04
7132742.765	24.03
7132752.765	24.03
7132762.766	24.02
7132772.766	24.03
7132782.766	24.02
7132792.767	24.02
7132802.767	24.02
7132812.768	24.02
7132822.768	24.01
7132832.719	24.03
7132842.719	24.01
7132852.769	24.02
7132862.720	24.02
7132872.770	24.02
7132882.771	24.01
7132892.721	24.02
7132902.772	24.01
7132912.772	24.01
7132922.722	24.01
7132932.723	23.99
7132942.773	23.99
7132952.724	23.99
7132962.774	23.98
7132972.775	23.98
7132982.775	23.99
7132992.725	23.98
7133002.776	23.98
7133012.776	23.98
7133022.777	23.78
7133032.777	23.59
7133042.778	23.96
7133052.728	24.57
7133062.778	24.86
7133072.779	25.20
7133082.779	25.61
7133092.730	26.04
7133102.780	26.73
7133112.781	28.76
7133122.781	31.29
7133132.731	34.37
7133142.782	37.77
7133152.732	41.03
7133162.733	43.77
7133172.783	46.32
7133182.783	49.92
7133192.734	53.37
7133202.784	54.25
7133212.735	55.57
7133222.785	58.33
7133232.786	59.74
7133242.736	60.79
7133252.786	61.13
7133262.737	62.39
7133272.787	62.79
7133282.788	63.10
7133292.788	63.38
7133302.789	66.08
7133312.789	69.03
7133322.789	69.59
7133332.740	70.21
7133342.740	70.66
7133352.791	70.97
7133362.741	71.33
7133372.742	71.54
7133382.742	71.73
7133392.792	71.68
7133402.743	71.25
7133412.793	70.90
7133422.794	70.54
7133432.744	70.09
7133442.745	69.72
7133452.795	69.49
7133462.795	69.36
7133472.746	69.29
7133482.796	69.24
7133492.797	69.22
7133502.797	69.22
7133512.798	69.24
7133522.798	69.25
7133532.748	69.28
7133542.749	69.33
7133552.749	69.36
7133562.800	69.38
7133572.750	69.41
7133582.751	69.45
7133592.751	69.46
7133602.751	69.51
7133612.802	69.55
7133622.802	69.58
7133632.753	69.60
7133642.753	69.62
7133652.804	69.65
7133662.804	69.67
7133672.804	69.70
7133682.805	69.74
7133692.805	69.76
7133702.806	69.79
7133712.756	69.80
7133722.807	69.83
7133732.807	69.84
7133742.757	69.85
7133752.808	69.88
7133762.808	69.90
7133772.759	69.92
7133782.809	69.94
7133792.760	69.96
7133802.760	69.97
7133812.760	69.99
7133822.761	69.99
7133832.811	70.00
7133842.812	70.03
7133852.762	70.04
7133862.763	70.06
7133872.813	70.06
7133882.813	70.07
7133892.814	70.07
7133902.764	70.07
7133912.765	70.08
7133922.765	70.09
7133932.766	70.07
7133942.816	70.09
7133952.816	70.09
7133962.767	70.08
7133972.767	70.08
7133982.818	70.08
7133992.818	70.08
7134002.769	70.07
7134012.769	70.07
7134022.819	70.07
7134032.770	70.05
7134042.820	70.06
7134052.821	70.06
7134062.821	70.05
7134072.772	70.05
7134082.772	70.05
7134092.772	70.04
7134102.823	70.04
7134112.773	70.03
7134122.824	70.00
7134132.824	70.01
7134142.775	70.00
7134152.775	69.99
7134162.775	69.99
7134172.776	69.97
7134182.776	69.98
7134192.827	69.96
7134202.777	69.96
7134212.778	69.96
7134222.828	69.94
7134232.828	69.94
7134242.779	69.94
7134252.829	69.92
7134262.830	69.90
7134272.830	69.88
7134282.831	69.88
7134292.831	69.89
7134302.781	69.87
7134312.832	69.86
7134322.782	69.85
7134332.833	69.84
