#1			
float	DNI_THTFin_vdot(1779,4)		
7129462.574	1.0	298.02	0.000000000
7129472.625	1.0	298.02	0.000000000
7129482.625	1.0	298.02	0.000000000
7129492.626	1.0	298.00	0.000000000
7129502.626	1.0	297.99	0.000000000
7129512.626	1.0	297.99	0.000000000
7129522.627	1.0	297.97	0.000000000
7129532.627	1.0	297.97	0.000000000
7129542.628	1.0	297.97	0.000000000
7129552.628	1.0	297.96	0.000000000
7129562.629	1.0	297.94	0.000000000
7129572.579	1.0	297.94	0.000000000
7129582.579	1.0	297.94	0.000000000
7129592.580	1.0	297.93	0.000000000
7129602.630	1.1	297.93	0.000000000
7129612.631	1.0	297.92	0.000000000
7129622.631	1.0	297.91	0.000000000
7129632.582	1.0	297.90	0.000000000
7129642.582	1.0	297.88	0.000000000
7129652.582	1.0	297.88	0.000000000
7129662.633	1.0	297.86	0.000000000
7129672.583	1.0	297.86	0.000000000
7129682.584	1.0	297.84	0.000000000
7129692.634	1.0	297.82	0.000000000
7129702.635	1.0	297.82	0.000000000
7129712.585	1.0	297.81	0.000000000
7129722.585	1.0	297.82	0.000000000
7129732.636	1.0	297.80	0.000000000
7129742.636	1.0	297.78	0.000000000
7129752.637	1.0	297.76	0.000000000
7129762.637	1.0	297.76	0.000000000
7129772.638	1.0	297.75	0.000000000
7129782.638	1.1	297.75	0.000000000
7129792.638	1.0	297.76	0.000000000
7129802.639	1.0	297.74	0.000000000
7129812.589	1.0	297.73	0.000000000
7129822.640	1.0	297.72	0.000000000
7129832.640	1.0	297.72	0.000000000
7129842.641	1.0	297.71	0.000000000
7129852.641	1.1	297.70	0.000000000
7129862.591	1.0	297.70	0.000000000
7129872.642	1.0	297.70	0.000000000
7129882.592	1.0	297.69	0.000000000
7129892.643	1.0	297.68	0.000000000
7129902.643	1.0	297.68	0.000000000
7129912.644	1.0	297.68	0.000000000
7129922.594	1.0	297.69	0.000000000
7129932.594	1.0	297.68	0.000000000
7129942.595	1.0	297.68	0.000000000
7129952.595	1.0	297.68	0.000000000
7129962.596	1.0	297.66	0.000000000
7129972.646	1.0	297.66	0.000000000
7129982.647	1.0	297.66	0.000000000
7129992.597	1.0	297.65	0.000000000
7130002.597	1.0	297.66	0.000000000
7130012.648	1.0	297.65	0.000000000
7130022.648	1.0	297.66	0.000000000
7130032.599	1.0	297.65	0.000000000
7130042.649	1.0	297.66	0.000000000
7130052.600	1.0	297.66	0.000000000
7130062.600	1.0	297.66	0.000000000
7130072.650	1.0	297.66	0.000000000
7130082.651	1.1	297.65	0.000000000
7130092.651	1.0	297.67	0.000000000
7130102.652	1.0	297.65	0.000000000
7130112.652	1.1	297.65	0.000000000
7130122.603	1.0	297.66	0.000000000
7130132.653	1.0	297.65	0.000000000
7130142.653	1.1	297.65	0.000000000
