#1					
float	DNI_THTFin_vdot(1775,6)				
7122482.480	1.0	300.79	0.000000000	0.00	298.55
7122492.480	1.0	300.82	0.000000000	0.00	298.54
7122502.430	1.0	300.83	0.000000000	0.00	298.53
7122512.481	1.0	300.74	0.000000000	0.00	298.51
7122522.481	1.0	300.67	0.000000000	0.00	298.50
7122532.432	1.0	300.62	0.000000000	0.00	298.50
7122542.482	0.9	300.57	0.000000000	0.00	298.51
7122552.433	1.0	300.50	0.000000000	0.00	298.50
7122562.483	1.0	300.44	0.000000000	0.00	298.51
7122572.483	1.0	300.37	0.000000000	0.00	298.49
7122582.484	1.0	300.36	0.000000000	0.00	298.50
7122592.434	0.9	300.27	0.000000000	0.00	298.49
7122602.485	1.0	300.27	0.000000000	0.00	298.49
7122612.435	1.0	300.28	0.000000000	0.00	298.47
7122622.436	1.0	300.28	0.000000000	0.00	298.47
7122632.486	1.0	300.29	0.000000000	0.00	298.45
7122642.436	0.9	300.28	0.000000000	0.00	298.45
7122652.487	1.0	300.28	0.000000000	0.00	298.44
7122662.437	1.0	300.27	0.000000000	0.00	298.44
7122672.488	1.0	300.26	0.000000000	0.00	298.43
7122682.488	1.0	300.26	0.000000000	0.00	298.42
7122692.439	1.0	300.29	0.000000000	0.00	298.42
7122702.489	1.0	301.72	0.000000000	0.00	298.40
7122712.489	1.0	301.05	0.000000000	0.00	298.40
7122722.490	1.0	300.87	0.000000000	0.00	298.38
7122732.440	1.0	300.89	0.000000000	0.00	298.36
7122742.491	1.0	300.80	0.000000000	0.00	298.36
7122752.441	0.9	300.78	0.000000000	0.00	298.35
7122762.442	1.0	300.75	0.000000000	0.00	298.35
7122772.492	1.0	300.73	0.000000000	0.00	298.34
7122782.442	1.0	300.71	0.000000000	0.00	298.33
7122792.493	1.0	300.71	0.000000000	0.00	298.32
7122802.443	0.9	300.69	0.000000000	0.00	298.31
7122812.444	1.0	300.68	0.000000000	0.00	298.32
7122822.444	1.0	300.67	0.000000000	0.00	298.29
7122832.445	1.0	300.66	0.000000000	0.00	298.30
7122842.445	0.9	300.66	0.000000000	0.00	298.28
7122852.495	1.0	300.63	0.000000000	0.00	298.28
7122862.446	0.9	300.63	0.000000000	0.00	298.26
7122872.496	1.0	300.61	0.000000000	0.00	298.27
7122882.497	0.9	300.61	0.000000000	0.00	298.26
7122892.497	1.0	300.59	0.000000000	0.00	298.25
7122902.498	1.0	300.59	0.000000000	0.00	298.25
7122912.498	1.0	300.59	0.000000000	0.00	298.24
7122922.498	1.0	300.58	0.000000000	0.00	298.24
7122932.499	1.0	300.57	0.000000000	0.00	298.23
7122942.499	1.0	300.56	0.000000000	0.00	298.23
7122952.500	1.0	300.52	0.000000000	0.00	298.22
7122962.500	1.0	300.52	0.000000000	0.00	298.21
7122972.451	1.0	300.49	0.000000000	0.00	298.20
7122982.501	1.0	300.48	0.000000000	0.00	298.20
7122992.501	0.9	300.46	0.000000000	0.00	298.19
7123002.502	1.0	300.45	0.000000000	0.00	298.19
7123012.502	1.0	300.50	0.000000000	0.00	298.19
7123022.503	0.9	300.53	0.000000000	0.00	298.17
7123032.453	1.0	300.52	0.000000000	0.00	298.17
7123042.504	0.9	300.51	0.000000000	0.00	298.15
7123052.504	0.9	300.51	0.000000000	0.00	298.15
7123062.454	1.0	300.50	0.000000000	0.00	298.14
7123072.505	0.9	300.50	0.000000000	0.00	298.14
7123082.455	1.0	300.47	0.000000000	0.00	298.13
7123092.506	0.9	300.48	0.000000000	0.00	298.11
7123102.506	1.0	300.47	0.000000000	0.00	298.12
7123112.507	0.9	300.46	0.000000000	0.00	298.10
7123122.457	1.0	300.43	0.000000000	0.00	298.11
7123132.457	1.0	300.42	0.000000000	0.00	298.10
7123142.458	1.0	300.41	0.000000000	0.00	298.08
7123152.458	1.0	300.40	0.000000000	0.00	298.09
7123162.509	1.0	300.39	0.000000000	0.00	298.08
7123172.509	1.0	300.37	0.000000000	0.00	298.08
7123182.460	0.9	300.35	0.000000000	0.00	298.07
7123192.510	1.0	300.32	0.000000000	0.00	298.09
7123202.460	1.0	300.30	0.000000000	0.00	298.08
7123212.461	1.0	300.26	0.000000000	0.00	298.09
7123222.461	1.0	300.23	0.000000000	0.00	298.07
7123232.512	1.0	300.21	0.000000000	0.00	298.06
7123242.462	0.9	300.17	0.000000000	0.00	298.06
7123252.463	1.0	300.16	0.000000000	0.00	298.05
7123262.463	1.0	300.15	0.000000000	0.00	298.06
7123272.513	0.9	300.15	0.000000000	0.00	298.06
7123282.464	0.9	300.13	0.000000000	0.00	298.05
7123292.514	0.9	300.11	0.000000000	0.00	298.03
7123302.515	1.0	300.12	0.000000000	0.00	298.03
7123312.515	0.9	300.11	0.000000000	0.00	298.03
7123322.466	1.0	300.10	0.000000000	0.00	298.03
7123332.516	1.0	300.10	0.000000000	0.00	298.01
7123342.516	1.0	300.10	0.000000000	0.00	298.00
7123352.517	1.0	300.07	0.000000000	0.00	298.01
