#1	
float	DNI(1780,2)
7134192.827	1.1
7134202.777	1.1
7134212.778	1.2
7134222.828	1.1
7134232.828	1.1
7134242.779	1.1
7134252.829	1.1
7134262.83	1.2
7134272.83	1.2
7134282.831	1.1
7134292.831	1.1
7134302.781	1.2
7134312.832	1.2
7134322.782	1.2
7134332.833	1.1
7134342.783	1.1
7134352.834	1.2
7134362.834	1.2
7134372.834	1.2
7134382.785	1.1
7134392.785	1.2
7134402.786	1.2
7134412.836	1.2
7134422.837	1.2
7134432.837	1.1
7134442.787	1.2
7134452.838	1.1
7134462.838	1.1
7134472.839	1.2
7134482.789	1.2
7134492.84	1.2
7134502.84	1.2
7134512.79	1.1
7134522.791	1.2
7134532.841	1.2
7134542.842	1.1
7134552.842	1.1
7134562.793	1.2
7134572.793	1.2
7134582.793	1.2
7134592.794	1.1
7134602.844	1.2
7134612.845	1.2
7134622.795	1.2
7134632.846	1.1
7134642.846	1.1
7134652.846	1.2
7134662.847	1.1
7134672.847	1.2
7134682.848	1.1
7134692.848	1.1
7134702.849	1.1
7134712.849	1.2
7134722.849	1.1
7134732.85	1.2
7134742.8	1.2
7134752.851	1.2
7134762.851	1.1
7134772.852	1.1
7134782.802	1.2
7134792.852	1.2
7134802.803	1.1
7134812.803	1.1
7134822.804	1.2
7134832.854	1.1
7134842.805	1.2
7134852.855	1.1
7134862.805	1.2
7134872.856	1.2
7134882.856	1.1
7134892.807	1.2
7134902.807	1.2
7134912.808	1.2
7134922.808	1.2
7134932.808	1.2
7134942.859	1.2
7134952.859	1.2
7134962.81	1.2
7134972.81	1.2
7134982.861	1.1
7134992.811	1.2
7135002.861	1.2
7135012.862	1.2
7135022.862	1.2
7135032.863	1.2
7135042.813	1.2
7135052.864	1.2
7135062.864	1.1
7135072.864	1.2
7135082.815	1.1
7135092.815	1.2
7135102.866	1.2
7135112.816	1.2
7135122.817	1.2
7135132.867	1.1
7135142.817	1.1
7135152.818	1.2
7135162.818	1.2
7135172.869	1.1
7135182.869	1.2
7135192.87	1.2
7135202.82	1.1
7135212.87	1.2
7135222.871	1.1
7135232.871	1.2
7135242.822	1.2
7135252.822	1.2
7135262.823	1.2
7135272.873	1.2
7135282.823	1.1
7135292.874	1.2
7135302.824	1.2
7135312.825	1.2
7135322.875	1.1
7135332.826	1.2
7135342.826	1.2
7135352.826	1.2
7135362.827	1.2
7135372.827	1.2
7135382.828	1.2
7135392.878	1.2
7135402.829	1.2
7135412.879	1.2
7135422.879	1.2
7135432.83	1.1
7135442.83	1.2
7135452.881	1.2
7135462.831	1.2
7135472.832	1.2
7135482.832	1.2
7135492.832	1.2
7135502.833	1.2
7135512.833	1.2
7135522.884	1.2
7135532.884	1.2
7135542.885	1.2
7135552.835	1.2
7135562.885	1.2
7135572.836	1.2
7135582.836	1.2
7135592.837	1.2
7135602.837	1.2
7135612.888	1.2
7135622.838	1.2
7135632.838	1.2
7135642.839	1.2
7135652.839	1.1
7135662.84	1.2
7135672.89	1.2
7135682.841	1.2
7135692.891	1.2
7135702.891	1.2
7135712.892	1.2
7135722.842	1.2
7135732.843	1.2
7135742.893	1.2
7135752.844	1.2
7135762.844	1.2
7135772.844	1.2
7135782.895	1.2
7135792.895	1.2
7135802.896	1.2
7135812.896	1.2
7135822.896	1.2
7135832.897	1.2
7135842.897	1.2
7135852.848	1.2
7135862.898	1.2
7135872.899	1.2
7135882.849	1.2
7135892.899	1.2
7135902.85	1.1
7135912.85	1.2
