#1	
float	Tpump(1780,2)
7132952.724	297.14
7132962.774	297.13
7132972.775	297.13
7132982.775	297.14
7132992.725	297.13
7133002.776	297.13
7133012.776	297.13
7133022.777	296.93
7133032.777	296.74
7133042.778	297.11
7133052.728	297.72
7133062.778	298.01
7133072.779	298.35
7133082.779	298.76
7133092.73	299.19
7133102.78	299.88
7133112.781	301.91
7133122.781	304.44
7133132.731	307.52
7133142.782	310.92
7133152.732	314.18
7133162.733	316.92
7133172.783	319.47
7133182.783	323.07
7133192.734	326.52
7133202.784	327.4
7133212.735	328.72
7133222.785	331.48
7133232.786	332.89
7133242.736	333.94
7133252.786	334.28
7133262.737	335.54
7133272.787	335.94
7133282.788	336.25
7133292.788	336.53
7133302.789	339.23
7133312.789	342.18
7133322.789	342.74
7133332.74	343.36
7133342.74	343.81
7133352.791	344.12
7133362.741	344.48
7133372.742	344.69
7133382.742	344.88
7133392.792	344.83
7133402.743	344.4
7133412.793	344.05
7133422.794	343.69
7133432.744	343.24
7133442.745	342.87
7133452.795	342.64
7133462.795	342.51
7133472.746	342.44
7133482.796	342.39
7133492.797	342.37
7133502.797	342.37
7133512.798	342.39
7133522.798	342.4
7133532.748	342.43
7133542.749	342.48
7133552.749	342.51
7133562.8	342.53
7133572.75	342.56
7133582.751	342.6
7133592.751	342.61
7133602.751	342.66
7133612.802	342.7
7133622.802	342.73
7133632.753	342.75
7133642.753	342.77
7133652.804	342.8
7133662.804	342.82
7133672.804	342.85
7133682.805	342.89
7133692.805	342.91
7133702.806	342.94
7133712.756	342.95
7133722.807	342.98
7133732.807	342.99
7133742.757	343
7133752.808	343.03
7133762.808	343.05
7133772.759	343.07
7133782.809	343.09
7133792.76	343.11
7133802.76	343.12
7133812.76	343.14
7133822.761	343.14
7133832.811	343.15
7133842.812	343.18
7133852.762	343.19
7133862.763	343.21
7133872.813	343.21
7133882.813	343.22
7133892.814	343.22
7133902.764	343.22
7133912.765	343.23
7133922.765	343.24
7133932.766	343.22
7133942.816	343.24
7133952.816	343.24
7133962.767	343.23
7133972.767	343.23
7133982.818	343.23
7133992.818	343.23
7134002.769	343.22
7134012.769	343.22
7134022.819	343.22
7134032.77	343.2
7134042.82	343.21
7134052.821	343.21
7134062.821	343.2
7134072.772	343.2
7134082.772	343.2
7134092.772	343.19
7134102.823	343.19
7134112.773	343.18
7134122.824	343.15
7134132.824	343.16
7134142.775	343.15
7134152.775	343.14
7134162.775	343.14
7134172.776	343.12
7134182.776	343.13
7134192.827	343.11
7134202.777	343.11
7134212.778	343.11
7134222.828	343.09
7134232.828	343.09
7134242.779	343.09
7134252.829	343.07
7134262.83	343.05
7134272.83	343.03
7134282.831	343.03
7134292.831	343.04
7134302.781	343.02
7134312.832	343.01
7134322.782	343
7134332.833	342.99
7134342.783	342.97
7134352.834	342.96
7134362.834	342.94
7134372.834	342.94
7134382.785	342.92
7134392.785	342.91
7134402.786	342.9
7134412.836	342.89
7134422.837	342.87
7134432.837	342.85
7134442.787	342.85
7134452.838	342.85
7134462.838	342.84
7134472.839	342.83
7134482.789	342.82
7134492.84	342.8
7134502.84	342.78
7134512.79	342.75
7134522.791	342.74
7134532.841	342.71
7134542.842	342.7
7134552.842	342.69
7134562.793	342.66
7134572.793	342.65
7134582.793	342.63
7134592.794	342.62
7134602.844	342.6
7134612.845	342.57
7134622.795	342.55
7134632.846	342.54
7134642.846	342.51
7134652.846	342.49
7134662.847	342.49
7134672.847	342.47
7134682.848	342.46
7134692.848	342.44
7134702.849	342.41
7134712.849	342.4
7134722.849	342.38
7134732.85	342.37
7134742.8	342.36
7134752.851	342.34
7134762.851	342.32
7134772.852	342.3
7134782.802	342.28
7134792.852	342.26
7134802.803	342.24
7134812.803	342.22
7134822.804	342.2
7134832.854	342.19
7134842.805	342.17
7134852.855	342.16
7134862.805	342.13
7134872.856	342.12
7134882.856	342.12
7134892.807	342.08
7134902.807	342.06
7134912.808	342.03
7134922.808	342.01
7134932.808	341.99
7134942.859	341.98
7134952.859	341.96
7134962.81	341.94
7134972.81	341.93
7134982.861	341.89
7134992.811	341.87
7135002.861	341.85
7135012.862	341.84
7135022.862	341.82
7135032.863	341.8
7135042.813	341.77
7135052.864	341.71
7135062.864	341.72
7135072.864	341.71
7135082.815	341.7
7135092.815	341.69
7135102.866	341.66
7135112.816	341.64
7135122.817	341.64
7135132.867	341.62
7135142.817	341.6
7135152.818	341.59
7135162.818	341.56
7135172.869	341.54
7135182.869	341.54
7135192.87	341.51
7135202.82	341.5
7135212.87	341.48
7135222.871	341.44
7135232.871	341.43
7135242.822	341.41
7135252.822	341.39
7135262.823	341.39
7135272.873	341.36
7135282.823	341.35
7135292.874	341.32
7135302.824	341.3
7135312.825	341.28
7135322.875	341.27
7135332.826	341.25
7135342.826	341.22
7135352.826	341.2
7135362.827	341.18
7135372.827	341.15
7135382.828	341.13
7135392.878	341.12
7135402.829	341.1
7135412.879	341.08
7135422.879	341.06
7135432.83	341.04
7135442.83	341.01
7135452.881	341
7135462.831	341.01
7135472.832	341.01
7135482.832	341.02
7135492.832	341.04
7135502.833	341.06
7135512.833	341.09
7135522.884	341.13
7135532.884	341.13
7135542.885	341.15
7135552.835	341.17
7135562.885	341.17
7135572.836	341.17
7135582.836	341.19
7135592.837	341.17
7135602.837	341.16
7135612.888	341.15
7135622.838	341.14
7135632.838	341.13
7135642.839	341.11
7135652.839	341.1
7135662.84	341.09
7135672.89	341.07
7135682.841	341.05
7135692.891	341.04
7135702.891	341.02
7135712.892	341
7135722.842	340.99
7135732.843	340.97
7135742.893	340.95
7135752.844	340.93
7135762.844	340.92
7135772.844	340.9
7135782.895	340.91
7135792.895	340.9
7135802.896	340.89
7135812.896	340.89
7135822.896	340.88
7135832.897	340.87
7135842.897	340.86
7135852.848	340.84
7135862.898	340.84
7135872.899	340.82
7135882.849	340.8
7135892.899	340.79
7135902.85	340.78
7135912.85	340.75
7135922.851	340.73
7135932.901	340.73
7135942.902	340.72
7135952.902	340.71
7135962.852	340.74
7135972.853	340.74
7135982.853	340.76
7135992.904	340.78
7136002.854	340.81
7136012.855	340.83
7136022.855	340.86
7136032.905	340.89
7136042.906	340.9
7136052.856	340.91
7136062.907	340.92
7136072.857	340.91
7136082.908	340.91
7136092.858	340.89
7136102.908	340.89
7136112.909	340.87
7136122.909	340.86
7136132.91	340.83
7136142.91	340.82
7136152.861	340.8
7136162.911	340.79
7136172.911	340.77
7136182.862	340.76
7136192.862	340.74
7136202.913	340.73
7136212.863	340.72
7136222.914	340.7
7136232.864	340.67
7136242.914	340.67
7136252.865	340.63
7136262.865	340.63
7136272.916	340.61
7136282.916	340.6
7136292.917	340.58
7136302.867	340.57
7136312.867	340.54
7136322.918	340.54
7136332.868	340.51
7136342.869	340.49
7136352.919	340.48
7136362.87	340.48
7136372.87	340.45
7136382.92	340.47
7136392.921	340.47
7136402.871	340.48
7136412.872	340.5
7136422.922	340.53
7136432.873	340.52
7136442.873	340.56
7136452.873	340.6
7136462.874	340.61
7136472.874	340.62
7136482.875	340.64
7136492.875	340.67
7136502.926	340.67
7136512.876	340.67
7136522.926	340.65
7136532.927	340.64
7136542.927	340.64
7136552.878	340.62
7136562.878	340.6
7136572.929	340.59
7136582.879	340.57
7136592.879	340.56
7136602.93	340.53
7136612.93	340.53
7136622.881	340.5
7136632.931	340.49
7136642.882	340.49
7136652.932	340.47
7136662.932	340.44
7136672.883	340.42
7136682.883	340.4
7136692.884	340.4
7136702.884	340.38
7136712.885	340.37
7136722.885	340.35
7136732.885	340.34
7136742.936	340.33
7136752.936	340.32
7136762.937	340.29
7136772.887	340.29
7136782.938	340.28
7136792.888	340.27
7136802.938	340.27
7136812.939	340.27
7136822.889	340.29
7136832.89	340.31
7136842.89	340.35
7136852.891	340.38
7136862.891	340.42
7136872.891	340.43
7136882.942	340.47
7136892.892	340.47
7136902.893	340.47
7136912.943	340.47
7136922.944	340.46
7136932.944	340.44
7136942.894	340.44
7136952.895	340.44
7136962.945	340.42
7136972.946	340.42
7136982.896	340.39
7136992.897	340.39
7137002.947	340.39
7137012.947	340.38
7137022.948	340.35
7137032.898	340.34
7137042.899	340.33
7137052.899	340.31
7137062.9	340.3
7137072.9	340.29
7137082.95	340.26
7137092.901	340.25
7137102.951	340.26
7137112.902	340.24
7137122.952	340.22
7137132.953	340.2
7137142.903	340.19
