#1	
double	mdot(2501,2)
7133712.756	1.36
7133722.807	1.36
7133732.807	1.36
7133742.757	1.36
7133752.808	1.36
7133762.808	1.36
7133772.759	1.36
7133782.809	1.36
7133792.760	1.36
7133802.760	1.36
7133812.760	1.36
7133822.761	1.36
7133832.811	1.36
7133842.812	1.36
7133852.762	1.36
7133862.763	1.36
7133872.813	1.36
7133882.813	1.36
7133892.814	1.36
7133902.764	1.36
7133912.765	1.36
7133922.765	1.35
7133932.766	1.35
7133942.816	1.35
7133952.816	1.35
7133962.767	1.35
7133972.767	1.35
7133982.818	1.35
7133992.818	1.35
7134002.769	1.35
7134012.769	1.35
7134022.819	1.35
7134032.770	1.35
7134042.820	1.35
7134052.821	1.35
7134062.821	1.35
7134072.772	1.35
7134082.772	1.35
7134092.772	1.35
7134102.823	1.35
7134112.773	1.35
7134122.824	1.35
7134132.824	1.35
7134142.775	1.35
7134152.775	1.35
7134162.775	1.35
7134172.776	1.35
7134182.776	1.35
7134192.827	1.35
7134202.777	1.35
7134212.778	1.35
7134222.828	1.35
7134232.828	1.35
7134242.779	1.35
7134252.829	1.35
7134262.830	1.35
7134272.830	1.35
7134282.831	1.35
7134292.831	1.35
7134302.781	1.35
7134312.832	1.35
7134322.782	1.35
7134332.833	1.35
7134342.783	1.35
7134352.834	1.35
7134362.834	1.35
7134372.834	1.35
7134382.785	1.35
7134392.785	1.35
7134402.786	1.35
7134412.836	1.35
7134422.837	1.35
7134432.837	1.35
7134442.787	1.35
7134452.838	1.35
7134462.838	1.35
7134472.839	1.35
7134482.789	1.35
7134492.840	1.35
7134502.840	1.35
7134512.790	1.35
7134522.791	1.35
7134532.841	1.35
7134542.842	1.35
7134552.842	1.35
7134562.793	1.35
7134572.793	1.36
7134582.793	1.36
7134592.794	1.36
7134602.844	1.36
7134612.845	1.36
7134622.795	1.36
7134632.846	1.36
7134642.846	1.36
7134652.846	1.36
7134662.847	1.36
7134672.847	1.36
7134682.848	1.36
7134692.848	1.36
7134702.849	1.36
7134712.849	1.36
7134722.849	1.36
7134732.850	1.36
7134742.800	1.36
7134752.851	1.36
7134762.851	1.36
7134772.852	1.36
7134782.802	1.36
7134792.852	1.36
7134802.803	1.36
7134812.803	1.36
7134822.804	1.36
7134832.854	1.36
7134842.805	1.36
7134852.855	1.36
7134862.805	1.36
7134872.856	1.36
7134882.856	1.36
7134892.807	1.36
7134902.807	1.36
7134912.808	1.36
7134922.808	1.36
7134932.808	1.36
7134942.859	1.36
7134952.859	1.36
7134962.810	1.36
7134972.810	1.36
7134982.861	1.36
7134992.811	1.36
7135002.861	1.36
7135012.862	1.36
7135022.862	1.36
7135032.863	1.36
7135042.813	1.36
7135052.864	1.36
7135062.864	1.36
7135072.864	1.36
7135082.815	1.36
7135092.815	1.36
7135102.866	1.36
7135112.816	1.36
7135122.817	1.36
7135132.867	1.36
7135142.817	1.36
7135152.818	1.36
7135162.818	1.36
7135172.869	1.36
7135182.869	1.36
7135192.870	1.36
7135202.820	1.36
7135212.870	1.36
7135222.871	1.36
7135232.871	1.36
7135242.822	1.36
7135252.822	1.36
7135262.823	1.36
7135272.873	1.36
7135282.823	1.36
7135292.874	1.36
7135302.824	1.36
7135312.825	1.36
7135322.875	1.36
7135332.826	1.36
7135342.826	1.36
7135352.826	1.36
7135362.827	1.36
7135372.827	1.36
7135382.828	1.36
7135392.878	1.36
7135402.829	1.36
7135412.879	1.36
7135422.879	1.36
7135432.830	1.36
7135442.830	1.36
7135452.881	1.36
7135462.831	1.36
7135472.832	1.36
7135482.832	1.36
7135492.832	1.36
7135502.833	1.36
7135512.833	1.36
7135522.884	1.36
7135532.884	1.36
7135542.885	1.36
7135552.835	1.36
7135562.885	1.36
7135572.836	1.36
7135582.836	1.36
7135592.837	1.36
7135602.837	1.36
7135612.888	1.36
7135622.838	1.36
7135632.838	1.36
7135642.839	1.36
7135652.839	1.36
7135662.840	1.36
7135672.890	1.36
7135682.841	1.36
7135692.891	1.36
7135702.891	1.36
7135712.892	1.36
7135722.842	1.36
7135732.843	1.36
7135742.893	1.36
7135752.844	1.36
7135762.844	1.36
7135772.844	1.36
7135782.895	1.36
7135792.895	1.36
7135802.896	1.36
7135812.896	1.36
7135822.896	1.36
7135832.897	1.36
7135842.897	1.36
7135852.848	1.36
7135862.898	1.36
7135872.899	1.36
7135882.849	1.36
7135892.899	1.36
7135902.850	1.36
7135912.850	1.36
7135922.851	1.36
7135932.901	1.36
7135942.902	1.36
7135952.902	1.36
7135962.852	1.36
7135972.853	1.36
7135982.853	1.36
7135992.904	1.36
7136002.854	1.36
7136012.855	1.36
7136022.855	1.36
7136032.905	1.36
7136042.906	1.36
7136052.856	1.36
7136062.907	1.36
7136072.857	1.36
7136082.908	1.36
7136092.858	1.36
7136102.908	1.36
7136112.909	1.36
7136122.909	1.36
7136132.910	1.36
7136142.910	1.36
7136152.861	1.36
7136162.911	1.36
7136172.911	1.36
7136182.862	1.36
7136192.862	1.36
7136202.913	1.36
7136212.863	1.36
7136222.914	1.36
7136232.864	1.36
7136242.914	1.36
7136252.865	1.36
7136262.865	1.36
7136272.916	1.36
7136282.916	1.36
7136292.917	1.36
7136302.867	1.36
7136312.867	1.36
7136322.918	1.36
7136332.868	1.36
7136342.869	1.36
7136352.919	1.36
7136362.870	1.36
7136372.870	1.36
7136382.920	1.36
7136392.921	1.36
7136402.871	1.36
7136412.872	1.36
7136422.922	1.36
7136432.873	1.36
7136442.873	1.36
7136452.873	1.36
7136462.874	1.36
7136472.874	1.36
7136482.875	1.36
7136492.875	1.36
7136502.926	1.36
7136512.876	1.36
7136522.926	1.36
7136532.927	1.36
7136542.927	1.36
7136552.878	1.36
7136562.878	1.36
7136572.929	1.36
7136582.879	1.36
7136592.879	1.36
7136602.930	1.36
7136612.930	1.36
7136622.881	1.36
7136632.931	1.36
7136642.882	1.36
7136652.932	1.36
7136662.932	1.36
7136672.883	1.36
7136682.883	1.36
7136692.884	1.36
7136702.884	1.36
7136712.885	1.36
7136722.885	1.36
7136732.885	1.36
7136742.936	1.36
7136752.936	1.36
7136762.937	1.36
7136772.887	1.36
7136782.938	1.36
7136792.888	1.36
7136802.938	1.36
7136812.939	1.36
7136822.889	1.36
7136832.890	1.36
7136842.890	1.36
7136852.891	1.36
7136862.891	1.36
7136872.891	1.36
7136882.942	1.36
