#1			
float	DNI_THTFin_vdot(1779,4)		
7126012.631	1	297.92	0
7126022.631	1	297.91	0
7126032.582	1	297.9	0
7126042.582	1	297.88	0
7126052.582	1	297.88	0
7126062.633	1	297.86	0
7126072.583	1	297.86	0
7126082.584	1	297.84	0
7126092.634	1	297.82	0
7126102.635	1	297.82	0
7126112.585	1	297.81	0
7126122.585	1	297.82	0
7126132.636	1	297.8	0
7126142.636	1	297.78	0
7126152.637	1	297.76	0
7126162.637	1	297.76	0
7126172.638	1	297.75	0
7126182.638	1.1	297.75	0
7126192.638	1	297.76	0
7126202.639	1	297.74	0
7126212.589	1	297.73	0
7126222.64	1	297.72	0
7126232.64	1	297.72	0
7126242.641	1	297.71	0
7126252.641	1.1	297.7	0
7126262.591	1	297.7	0
7126272.642	1	297.7	0
7126282.592	1	297.69	0
7126292.643	1	297.68	0
7126302.643	1	297.68	0
7126312.644	1	297.68	0
7126322.594	1	297.69	0
7126332.594	1	297.68	0
7126342.595	1	297.68	0
7126352.595	1	297.68	0
7126362.596	1	297.66	0
7126372.646	1	297.66	0
7126382.647	1	297.66	0
7126392.597	1	297.65	0
7126402.597	1	297.66	0
7126412.648	1	297.65	0
7126422.648	1	297.66	0
7126432.599	1	297.65	0
7126442.649	1	297.66	0
7126452.6	1	297.66	0
7126462.6	1	297.66	0
7126472.65	1	297.66	0
7126482.651	1.1	297.65	0
7126492.651	1	297.67	0
7126502.652	1	297.65	0
7126512.652	1.1	297.65	0
7126522.603	1	297.66	0
7126532.653	1	297.65	0
7126542.653	1.1	297.65	0
7126552.654	1	297.65	0
7126562.654	1.1	297.64	0
7126572.605	1	297.63	0
7126582.655	1	297.62	0
7126592.606	1.1	297.62	0
7126602.606	1	297.62	0
7126612.606	1.1	297.62	0
7126622.657	1	297.62	0
7126632.657	1	297.63	0
7126642.658	1	297.61	0
7126652.658	1	297.62	0
7126662.659	1	297.61	0
7126672.659	1	297.6	0
7126682.609	1.1	297.61	0
7126692.61	1	297.61	0
7126702.66	1	297.59	0
7126712.661	1	297.58	0
7126722.611	1.1	297.57	0
7126732.662	1.1	297.58	0
7126742.662	1.1	297.57	0
7126752.662	1.1	297.58	0
7126762.613	1.1	297.57	0
7126772.663	1.1	297.58	0
7126782.614	1	297.56	0
7126792.614	1	297.57	0
7126802.615	1	297.56	0
7126812.665	1	297.56	0
7126822.665	1.1	297.56	0
7126832.666	1.1	297.55	0
7126842.666	1	297.56	0
7126852.617	1	297.55	0
7126862.617	1	297.53	0
7126872.618	1.1	297.53	0
7126882.668	1	297.52	0
7126892.668	1	297.53	0
7126902.669	1.1	297.51	0
7126912.619	1	297.52	0
7126922.67	1.1	297.51	0
7126932.67	1	297.5	0
7126942.67	1.1	297.5	0
7126952.671	1	297.5	0
7126962.621	1.1	297.49	0
7126972.672	1	297.49	0
7126982.622	1.1	297.47	0
7126992.673	1.1	297.48	0
7127002.673	1.1	297.47	0
7127012.673	1.1	297.46	0
7127022.624	1	297.46	0
7127032.674	1.1	297.45	0
7127042.625	1.1	297.46	0
7127052.625	1.1	297.44	0
7127062.676	1.1	297.44	0
7127072.676	1.1	297.45	0
7127082.676	1.1	297.45	0
7127092.677	1.1	297.44	0
7127102.627	1.1	297.44	0
7127112.678	1.1	297.44	0
7127122.678	1.1	297.41	0
7127132.629	1.1	297.42	0
7127142.679	1.1	297.39	0
7127152.629	1	297.39	0
7127162.68	1.1	297.38	0
7127172.63	1.1	297.37	0
7127182.681	1.1	297.36	0
7127192.631	1.1	297.37	0
7127202.632	1.1	297.36	0
7127212.682	1	297.37	0
7127222.632	1	297.37	0
7127232.633	1.1	297.36	0
7127242.683	1.1	297.36	0
7127252.634	1	297.37	0
7127262.684	1.1	297.36	0
7127272.635	1.1	297.35	0
7127282.685	1.1	297.36	0
7127292.635	1.1	297.35	0
7127302.636	1.1	297.35	0
7127312.636	1.1	297.35	0
7127322.637	1	297.33	0
7127332.637	1.1	297.33	0
7127342.688	1.1	297.33	0
7127352.638	1.1	297.34	0
7127362.638	1.1	297.32	0
7127372.689	1	297.32	0
7127382.639	1.1	297.33	0
7127392.64	1.1	297.32	0
7127402.69	1	297.33	0
7127412.691	1.1	297.33	0
7127422.641	1.1	297.32	0
7127432.691	1.1	297.32	0
7127442.642	1.1	297.33	0
7127452.692	1.1	297.31	0
