#1	
double	test(2502,2)
7131102.694	1.1
7131112.695	1.1
7131122.645	1.1
7131132.696	1.1
7131142.696	1.1
7131152.647	1.1
7131162.697	1.1
7131172.697	1.1
7131182.698	1.1
7131192.698	1.1
7131202.649	1.1
7131212.699	1.1
7131222.700	1.1
7131232.650	1.1
7131242.650	1.0
7131252.651	1.1
7131262.651	1.1
7131272.652	1.1
7131282.652	1.1
7131292.703	1.1
7131302.703	1.1
7131312.703	1.1
7131322.704	1.1
7131332.654	1.1
7131342.655	1.1
7131352.655	1.1
7131362.706	1.1
7131372.656	1.1
7131382.656	1.1
7131392.707	1.1
7131402.707	1.1
7131412.658	1.1
7131422.658	1.1
7131432.659	1.1
7131442.709	1.1
7131452.709	1.1
7131462.710	1.1
7131472.660	1.1
7131482.711	1.1
7131492.711	1.1
7131502.712	1.1
7131512.712	1.1
7131522.712	1.1
7131532.663	1.1
7131542.663	1.1
7131552.714	1.1
7131562.664	1.1
7131572.665	1.1
7131582.715	1.1
7131592.665	1.1
7131602.716	1.1
7131612.716	1.1
7131622.667	1.1
7131632.667	1.1
7131642.668	1.1
7131652.718	1.1
7131662.668	1.1
7131672.719	1.1
7131682.719	1.1
7131692.670	1.1
7131702.670	1.1
7131712.671	1.1
7131722.721	1.1
7131732.721	1.1
7131742.722	1.2
7131752.722	1.1
7131762.723	1.1
7131772.723	1.2
7131782.724	1.1
7131792.674	1.1
7131802.674	1.0
7131812.675	1.1
7131822.675	1.1
7131832.676	1.1
7131842.726	1.0
7131852.677	1.1
7131862.727	1.1
7131872.727	1.1
7131882.678	1.1
7131892.678	1.1
7131902.679	1.2
7131912.729	1.1
7131922.730	1.1
7131932.730	1.2
7131942.730	1.1
7131952.681	1.1
7131962.731	1.1
7131972.732	1.1
7131982.682	1.2
7131992.733	1.1
7132002.733	1.2
7132012.733	1.1
7132022.734	1.1
7132032.734	1.1
7132042.735	1.1
7132052.735	1.1
7132062.736	1.1
7132072.736	1.2
7132082.686	1.1
7132092.737	1.2
7132102.737	1.1
7132112.738	1.1
7132122.688	1.1
7132132.689	1.1
7132142.739	1.1
7132152.739	1.1
7132162.690	1.2
7132172.740	1.1
7132182.741	1.2
7132192.691	1.2
7132202.692	1.1
7132212.742	1.2
7132222.692	1.2
7132232.693	1.1
7132242.693	1.1
7132252.744	1.1
7132262.694	1.1
7132272.745	1.1
7132282.745	1.1
7132292.745	1.1
7132302.696	1.1
7132312.696	1.2
7132322.747	1.1
7132332.697	1.2
7132342.748	1.2
7132352.748	1.1
7132362.748	1.2
7132372.749	1.1
7132382.699	1.2
7132392.750	1.1
7132402.700	1.1
7132412.751	1.2
7132422.751	1.1
7132432.701	1.1
7132442.752	1.2
7132452.752	1.2
7132462.753	1.1
7132472.703	1.2
7132482.754	1.1
7132492.704	1.2
7132502.754	1.2
7132512.755	1.2
7132522.755	1.2
7132532.756	1.2
7132542.756	1.2
7132552.757	1.2
7132562.707	1.2
7132572.707	1.2
7132582.758	1.1
7132592.708	1.2
7132602.709	1.1
7132612.759	1.1
7132622.760	1.2
7132632.760	1.2
7132642.760	1.2
7132652.761	1.1
7132662.761	1.1
7132672.762	1.1
7132682.712	1.2
7132692.713	1.1
7132702.763	1.2
7132712.763	1.1
7132722.714	1.2
7132732.764	1.2
7132742.765	1.1
7132752.765	1.2
7132762.766	1.2
7132772.766	1.2
7132782.766	1.1
7132792.767	1.2
7132802.767	1.2
7132812.768	1.1
7132822.768	1.2
7132832.719	1.2
7132842.719	1.1
7132852.769	1.1
7132862.720	1.2
7132872.770	1.2
7132882.771	1.2
7132892.721	1.2
7132902.772	1.1
7132912.772	1.2
7132922.722	1.2
7132932.723	1.2
7132942.773	1.2
7132952.724	1.2
7132962.774	1.2
7132972.775	1.2
7132982.775	1.1
7132992.725	1.2
7133002.776	1.2
7133012.776	1.2
7133022.777	1.2
7133032.777	1.1
7133042.778	1.2
7133052.728	1.1
7133062.778	1.2
7133072.779	1.2
7133082.779	1.2
7133092.730	1.2
7133102.780	1.2
7133112.781	1.1
7133122.781	1.2
7133132.731	1.2
7133142.782	1.2
7133152.732	1.2
7133162.733	1.2
7133172.783	1.1
7133182.783	1.2
7133192.734	1.2
7133202.784	1.2
7133212.735	1.2
7133222.785	1.2
7133232.786	1.2
7133242.736	1.2
7133252.786	1.2
7133262.737	1.2
7133272.787	1.2
7133282.788	1.1
7133292.788	1.1
7133302.789	1.2
7133312.789	1.2
7133322.789	1.2
7133332.740	1.2
7133342.740	1.2
7133352.791	1.2
7133362.741	1.2
7133372.742	1.2
7133382.742	1.1
7133392.792	1.2
7133402.743	1.2
7133412.793	1.2
7133422.794	1.2
7133432.744	1.1
7133442.745	1.1
7133452.795	1.1
7133462.795	1.2
7133472.746	1.2
7133482.796	1.1
7133492.797	1.2
7133502.797	1.1
7133512.798	1.1
7133522.798	1.2
7133532.748	1.1
7133542.749	1.1
7133552.749	1.2
7133562.800	1.2
7133572.750	1.1
7133582.751	1.2
7133592.751	1.2
7133602.751	1.1
7133612.802	1.2
7133622.802	1.1
7133632.753	1.2
7133642.753	1.2
7133652.804	1.1
7133662.804	1.2
7133672.804	1.1
7133682.805	1.2
7133692.805	1.2
7133702.806	1.2
7133712.756	1.1
7133722.807	1.1
7133732.807	1.2
7133742.757	1.2
7133752.808	1.2
7133762.808	1.2
7133772.759	1.1
7133782.809	1.1
7133792.760	1.1
7133802.760	1.2
7133812.760	1.2
7133822.761	1.2
7133832.811	1.1
7133842.812	1.2
7133852.762	1.2
7133862.763	1.2
7133872.813	1.2
7133882.813	1.2
7133892.814	1.1
7133902.764	1.1
7133912.765	1.1
7133922.765	1.1
7133932.766	1.2
7133942.816	1.1
7133952.816	1.1
7133962.767	1.1
7133972.767	1.1
7133982.818	1.1
7133992.818	1.2
7134002.769	1.1
7134012.769	1.2
7134022.819	1.2
7134032.770	1.2
7134042.820	1.1
7134052.821	1.1
7134062.821	1.1
7134072.772	1.1
7134082.772	1.1
7134092.772	1.2
7134102.823	1.1
7134112.773	1.1
7134122.824	1.2
7134132.824	1.1
7134142.775	1.2
7134152.775	1.1
7134162.775	1.2
7134172.776	1.2
7134182.776	1.2
7134192.827	1.1
7134202.777	1.1
7134212.778	1.2
7134222.828	1.1
7134232.828	1.1
7134242.779	1.1
7134252.829	1.1
7134262.830	1.2
7134272.830	1.2
7134282.831	1.1
7134292.831	1.1
7134302.781	1.2
7134312.832	1.2
7134322.782	1.2
7134332.833	1.1
7134342.783	1.1
7134352.834	1.2
7134362.834	1.2
7134372.834	1.2
7134382.785	1.1
7134392.785	1.2
7134402.786	1.2
7134412.836	1.2
7134422.837	1.2
7134432.837	1.1
7134442.787	1.2
7134452.838	1.1
7134462.838	1.1
7134472.839	1.2
7134482.789	1.2
7134492.840	1.2
7134502.840	1.2
7134512.790	1.1
7134522.791	1.2
7134532.841	1.2
7134542.842	1.1
7134552.842	1.1
7134562.793	1.2
7134572.793	1.2
7134582.793	1.2
7134592.794	1.1
7134602.844	1.2
7134612.845	1.2
7134622.795	1.2
7134632.846	1.1
7134642.846	1.1
7134652.846	1.2
7134662.847	1.1
7134672.847	1.2
7134682.848	1.1
7134692.848	1.1
7134702.849	1.1
7134712.849	1.2
7134722.849	1.1
7134732.850	1.2
7134742.800	1.2
7134752.851	1.2
7134762.851	1.1
7134772.852	1.1
7134782.802	1.2
7134792.852	1.2
7134802.803	1.1
7134812.803	1.1
7134822.804	1.2
7134832.854	1.1
7134842.805	1.2
7134852.855	1.1
7134862.805	1.2
7134872.856	1.2
7134882.856	1.1
7134892.807	1.2
7134902.807	1.2
7134912.808	1.2
7134922.808	1.2
7134932.808	1.2
7134942.859	1.2
7134952.859	1.2
7134962.810	1.2
7134972.810	1.2
7134982.861	1.1
7134992.811	1.2
7135002.861	1.2
7135012.862	1.2
7135022.862	1.2
7135032.863	1.2
7135042.813	1.2
7135052.864	1.2
7135062.864	1.1
7135072.864	1.2
7135082.815	1.1
7135092.815	1.2
7135102.866	1.2
7135112.816	1.2
7135122.817	1.2
7135132.867	1.1
7135142.817	1.1
7135152.818	1.2
7135162.818	1.2
7135172.869	1.1
7135182.869	1.2
7135192.870	1.2
7135202.820	1.1
7135212.870	1.2
7135222.871	1.1
7135232.871	1.2
7135242.822	1.2
7135252.822	1.2
7135262.823	1.2
7135272.873	1.2
7135282.823	1.1
7135292.874	1.2
7135302.824	1.2
7135312.825	1.2
7135322.875	1.1
7135332.826	1.2
7135342.826	1.2
7135352.826	1.2
7135362.827	1.2
7135372.827	1.2
7135382.828	1.2
7135392.878	1.2
7135402.829	1.2
7135412.879	1.2
7135422.879	1.2
7135432.830	1.1
7135442.830	1.2
7135452.881	1.2
7135462.831	1.2
7135472.832	1.2
7135482.832	1.2
7135492.832	1.2
7135502.833	1.2
7135512.833	1.2
7135522.884	1.2
7135532.884	1.2
7135542.885	1.2
7135552.835	1.2
7135562.885	1.2
7135572.836	1.2
7135582.836	1.2
7135592.837	1.2
7135602.837	1.2
7135612.888	1.2
7135622.838	1.2
7135632.838	1.2
7135642.839	1.2
7135652.839	1.1
7135662.840	1.2
7135672.890	1.2
7135682.841	1.2
7135692.891	1.2
7135702.891	1.2
7135712.892	1.2
7135722.842	1.2
7135732.843	1.2
7135742.893	1.2
7135752.844	1.2
7135762.844	1.2
7135772.844	1.2
7135782.895	1.2
7135792.895	1.2
7135802.896	1.2
7135812.896	1.2
7135822.896	1.2
7135832.897	1.2
7135842.897	1.2
7135852.848	1.2
7135862.898	1.2
7135872.899	1.2
7135882.849	1.2
7135892.899	1.2
7135902.850	1.1
7135912.850	1.2
7135922.851	1.2
7135932.901	1.2
7135942.902	1.2
7135952.902	1.2
7135962.852	1.2
7135972.853	1.2
7135982.853	1.2
7135992.904	1.2
7136002.854	1.2
7136012.855	1.2
7136022.855	1.2
7136032.905	1.2
7136042.906	1.2
7136052.856	1.2
7136062.907	1.2
7136072.857	1.1
7136082.908	1.2
7136092.858	1.2
7136102.908	1.2
7136112.909	1.2
7136122.909	1.2
7136132.910	1.2
7136142.910	1.2
7136152.861	1.2
7136162.911	1.2
7136172.911	1.2
7136182.862	1.2
7136192.862	1.2
7136202.913	1.2
7136212.863	1.2
7136222.914	1.2
7136232.864	1.2
7136242.914	1.2
7136252.865	1.2
7136262.865	1.3
7136272.916	1.2
7136282.916	1.2
7136292.917	1.2
7136302.867	1.2
7136312.867	1.2
7136322.918	1.2
7136332.868	1.2
7136342.869	1.2
7136352.919	1.2
7136362.870	1.2
7136372.870	1.2
7136382.920	1.2
7136392.921	1.2
7136402.871	1.3
7136412.872	1.2
7136422.922	1.2
7136432.873	1.2
7136442.873	1.2
7136452.873	1.2
7136462.874	1.2
7136472.874	1.2
7136482.875	1.2
7136492.875	1.2
7136502.926	1.2
7136512.876	1.3
7136522.926	1.2
7136532.927	1.2
7136542.927	1.2
7136552.878	1.2
7136562.878	1.1
7136572.929	1.2
7136582.879	1.2
7136592.879	1.2
7136602.930	1.2
7136612.930	1.2
